what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1356371117261
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1356371117274
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1356371117291
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1356371117298
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1356371117320
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1356371117335
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1356371117335
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1356371117351
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1356371117364
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1356371117382
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1356371117394
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1356371117413
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1356371117425
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1356371117434
os,sysinfo,,,"macosx",1356371117436
arch,sysinfo,,,"x86_64",1356371117436
ws,sysinfo,,,"cocoa",1356371117436
locale,sysinfo,,,"en_US",1356371117436
processors,sysinfo,,,"2",1356371117437
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1356371117437
java.runtime.version,sysinfo,,,"1.6.0_15-b03-219",1356371117437
java.specification.name,sysinfo,,,"Java Platform API Specification",1356371117437
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1356371117437
java.specification.version,sysinfo,,,"1.6",1356371117437
java.vendor,sysinfo,,,"Apple Inc.",1356371117437
java.version,sysinfo,,,"1.6.0_15",1356371117437
java.vm.info,sysinfo,,,"mixed mode",1356371117437
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1356371117437
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1356371117437
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1356371117437
java.vm.specification.version,sysinfo,,,"1.0",1356371117437
java.vm.vendor,sysinfo,,,"Apple Inc.",1356371117437
java.vm.version,sysinfo,,,"14.1-b02-90",1356371117437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356371117636
activated,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1356371117640
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1356371117928
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1356371118023
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1356371118357
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1356371118419
